title,alt,spotify_id,youtube_id
Eimai tou dromou to paidi,Είμαι του δρόμου το παιδί,,
Hani benim mor meneksem,,,
Manaki mou,Μανάκι μου,,
Mes ton teke tis Marigos,Μες τον τεκέ της Μαρίγκως,,
Vale me stin angalia sou,Βάλε με στην αγκαλιά σου,,
Pino kai metho,Πίνω και μεθώ,,
To vapori ap tin Persia,Το βαπόρι απ' την Περσία,,
Gia mia ksanthoula,Για μια ξανθούλα,,
Kivrak kerimoglu,,,
Skila mekanes,Σκύλα μηχανές,,
Tatavliano,Ταταβλιανό,,
Pos tha perasi i vradia,Πώς θα περάσει η βραδιά,,
O Markos Ipourgos,Ο Μάρκος υπουργός,,
Yabanci,,,
Pou sun manga to himona,Πού σουν μάγκα τον χειμώνα,,
Karadouzeni Kourdisa,Καραντουζένι κούρδισα,,
Ton andra su ke emena,Τον άντρα σου κι εμένα,,
Oti zitisis,"Ό,τι ζητήσεις",,
Paramana,Παραμάνα,,
Dimeni san arhondissa,Ντυμένη σαν αρχόντισσα,,
To sakaki,Το σακάκι,,
M'ehun vaftisi Yanni,Μ' έχουν βαφτίσει Γιάννη,,
O markos politehnitis,Ο Μάρκος πολυτεχνίτης,,
