title,alt,spotify_id,youtube_id
Kahimo mes stin Kardoula mou,Κάηκε μες στην καρδούλα μου,,
Pireotissa,Πειραιώτισσα,,
Einai arga,Είναι αργά,,
Mu fages,Μου φάγες,,
Bir Allah,,,
Katse n'akouseis mia penia,Κάτσε ν'ακούσεις μια πενιά,,
Aftos o anthropos,Αυτός ο άνθρωπος,,
Apopse eisai gia fili,Απόψε είσαι για φιλί,,
Apopse einai varia,Απόψε είναι βαριά,,
Sta bouzoukia na me pas,Στα μπουζούκια να με πας,,
To mertiko mu ap tin hara,Το μερτικό μου απ' τη χαρά,,
Enas mangas sto Votaniko,Ένας μάγκας στο Βοτανικό,,
Ayvalik zeybegi,,,
Paraponieme sto dunya,Παραπονιέμαι στον ντουνιά,,
Horismos,Χωρισμός,,
Vrehei fotia sti strata mou,Βρέχει φωτιά στη στράτα μου,,
Palyaci,Παλιάτσο|Παλιάτσι,,
Aspro poukamiso,Άσπρο πουκάμισο,,
To telefteo vradi mu,Το τελευταίο βράδυ μου,,
Me pnigi o ponos,Με πνίγει ο πόνος,,
Elliniki apolafsis,Ελληνική απόλαυσις,,
Taksici,Ταξιτζή,,
Einai to krio tsuhtero,Είναι το κρύο τσουχτερό,,
Sto keli 33,Στο κελί 33,,
Se dioksan ap tin kokkinia,Σε διώξαν απ' την Κοκκινιά,,
Parakseni kopela,Παράξενη κοπέλα,,
Vradiazi,Βραδιάζει,,
Den m'agapas,Δεν μ'αγαπάς,,
Mazi sou ksemyalistika,Μαζί σου ξεμυαλίστηκα,,
Horisam ena dilino,Χωρισαμ ένα δίλινο|Χωρίσαμε ένα δείλινο,,
Vergules,Βεργούλες,,
Ela opos eisai,Έλα όπως είσαι,,
To telefteo randevu,Το τελευταίο ραντεβού,,
Enas alitis pethane,Ένας αλήτης πέθανε,,
Haremia me diamantia,Χαρέμια με διαμάντια,,
To ksekremasa,Το ξεκρέμασα,,
O girismos,Ο γυρισμός,,
Fadazes san prinkipessa,Φάδαζες σαν πριγκίπισσα|Φαδάζεις σαν πριγκίπισσα,,
Mes tin poli skotura mu,Μες την πολυσκοτούρα μου,,
